,AIR,ANIMALS,APOLLO,APPLE,ARK,ARM,ARROW,ASS,BASKET,BATH,BEAR,BELL,BIRD,BIRDS,BLOOD,BOAT,BODY,BOOK,BOTTLE,BOW,BOX,BRANCH,BRIDGE,CASTLE,CHAIN,CHARIOT,CHILD,CIRCLE,CITY,CLOAK,CLOTHES,CLOUDS,COLD,COLUMN,COMBAT,COW,CROSS,CROWD,CROWN,CRYSTAL,DANCE,DARKNESS,DEATH,DESERT,DESTRUCTION,DEVIL,DISGUISE,DOG,DOOR,DOVE,DRAGON,DRINK,DUST,DWARF,EAGLE,EARTH,EGYPT,EMPEROR,EVE,EYE,FARMER,FATHER,FIELDS,FIGHT,FIRE,FISH,FLIGHT,FLUTE,FOOT,FOREST,FOUNTAIN,FRUIT,GARDEN,GARLAND,GIANT,GOBLET,GOLD,HAIR,HALO,HAND,HARE,HAT,HEAD,HEART,HEAVEN,HELL,HERO,HORNS,HORSE,HOUSE,HUNT,HUNTER,INSTRUMENTS,ISLAND,IVY,JOURNEY,JUPITER,KING,KNIFE,LAMP,LAUREL,LIFE,LIGHT,LION,LOVE,LOVER,MAN,MARRIAGE,MARS,MASK,MEADOW,MIRROR,MIST,MOON,MOTHER,MOUNTAIN,MOUTH,MUSIC,MUSICIAN,NATURE,NIGHT,NUMBERS,TEN,NYMPHS,PALACE,PAN,PARADISE,PILLAR,POINT,POMEGRANATE,POWER,PRINCE,PROCESSION,RADIANCE,RELIEF,RING,RIVER,ROCK,ROOM,RUINS,SACRIFICE,SEA,SEASONS,SECRET,SERPENT,SHEPHERD,SHIP,SIGN,SKIN,SKULL,SNOW,SPACE,STAG,STARS,STONE,STORM,STRENGTH,SUN,SWORD,TEMPLE,THORN,THREAD,THRONE,TIME,TOMB,TOWER,TREASURE,TREE,TRIUMPH,TWILIGHT,VALLEY,VENUS,VESSEL,VICTORY,VINE,VOYAGE,WALL,WAR,WARRIORS,WATER,WAVES,WEAVING,WELL,WEST,WHEEL,WHITE,WIND,WINDOW,WINE,WINGS,WOLF,WOMAN,WOOD,WORLD
EVE,73.0,93.0,21.0,8.0,73.0,55.0,18.0,162.0,6.0,11.0,40.0,15.0,62.0,29.0,47.0,21.0,49.0,23.0,4.0,15.0,13.0,16.0,16.0,35.0,24.0,33.0,37.0,47.0,55.0,14.0,24.0,17.0,13.0,34.0,16.0,9.0,75.0,9.0,42.0,9.0,24.0,31.0,79.0,25.0,33.0,23.0,14.0,25.0,15.0,15.0,71.0,8.0,9.0,13.0,62.0,87.0,59.0,26.0,281.0,43.0,15.0,21.0,6.0,27.0,75.0,36.0,27.0,10.0,18.0,21.0,33.0,8.0,27.0,20.0,38.0,8.0,52.0,18.0,15.0,73.0,15.0,243.0,76.0,36.0,81.0,37.0,45.0,37.0,49.0,29.0,14.0,28.0,11.0,19.0,1.0,37.0,24.0,112.0,6.0,12.0,10.0,108.0,75.0,44.0,49.0,10.0,199.0,12.0,34.0,19.0,7.0,35.0,41.0,55.0,48.0,82.0,24.0,50.0,9.0,68.0,41.0,25.0,163.0,14.0,10.0,47.0,14.0,11.0,100.0,10.0,77.0,10.0,39.0,8.0,9.0,115.0,12.0,22.0,14.0,6.0,33.0,52.0,26.0,15.0,57.0,7.0,80.0,178.0,18.0,15.0,9.0,82.0,53.0,17.0,56.0,11.0,32.0,71.0,61.0,75.0,10.0,8.0,7.0,119.0,9.0,31.0,29.0,58.0,32.0,22.0,18.0,15.0,7.0,28.0,30.0,13.0,30.0,105.0,9.0,101.0,12.0,7.0,80.0,37.0,57.0,43.0,27.0,15.0,10.0,36.0,15.0,32.0,21.0,121.0
EYE,22.0,45.0,9.0,4.0,32.0,23.0,7.0,48.0,2.0,6.0,11.0,7.0,28.0,12.0,26.0,11.0,18.0,7.0,2.0,5.0,10.0,2.0,10.0,18.0,16.0,14.0,19.0,23.0,25.0,10.0,16.0,10.0,7.0,16.0,9.0,7.0,31.0,5.0,22.0,3.0,15.0,15.0,26.0,11.0,13.0,15.0,2.0,11.0,8.0,8.0,38.0,7.0,7.0,9.0,38.0,24.0,22.0,10.0,43.0,70.0,7.0,15.0,4.0,18.0,31.0,19.0,12.0,3.0,14.0,10.0,11.0,2.0,5.0,7.0,21.0,7.0,15.0,11.0,10.0,35.0,9.0,57.0,36.0,17.0,30.0,18.0,19.0,22.0,28.0,18.0,3.0,11.0,3.0,9.0,0.0,19.0,7.0,37.0,4.0,5.0,4.0,32.0,25.0,20.0,14.0,6.0,58.0,6.0,12.0,9.0,2.0,21.0,13.0,23.0,23.0,33.0,18.0,26.0,3.0,27.0,21.0,14.0,44.0,6.0,8.0,17.0,5.0,8.0,31.0,6.0,34.0,7.0,16.0,5.0,6.0,37.0,7.0,6.0,10.0,4.0,13.0,17.0,11.0,8.0,22.0,5.0,31.0,54.0,13.0,8.0,4.0,35.0,20.0,12.0,26.0,5.0,12.0,25.0,27.0,34.0,4.0,2.0,8.0,38.0,2.0,15.0,14.0,26.0,10.0,16.0,6.0,6.0,6.0,11.0,11.0,8.0,17.0,34.0,5.0,41.0,4.0,4.0,23.0,19.0,26.0,23.0,11.0,9.0,10.0,24.0,6.0,20.0,6.0,31.0
FARMER,6.0,15.0,2.0,2.0,11.0,9.0,1.0,14.0,3.0,3.0,3.0,2.0,12.0,5.0,12.0,10.0,4.0,4.0,3.0,2.0,5.0,3.0,10.0,12.0,5.0,8.0,11.0,12.0,8.0,6.0,9.0,5.0,3.0,12.0,4.0,2.0,12.0,3.0,11.0,2.0,8.0,5.0,17.0,8.0,8.0,4.0,6.0,6.0,6.0,4.0,15.0,1.0,2.0,7.0,11.0,6.0,8.0,6.0,15.0,7.0,28.0,4.0,4.0,8.0,13.0,8.0,5.0,4.0,5.0,7.0,6.0,4.0,4.0,7.0,14.0,5.0,6.0,5.0,4.0,8.0,8.0,22.0,11.0,6.0,11.0,8.0,9.0,6.0,13.0,10.0,2.0,6.0,2.0,6.0,0.0,14.0,3.0,14.0,1.0,3.0,4.0,17.0,6.0,8.0,6.0,2.0,22.0,4.0,9.0,6.0,1.0,11.0,7.0,8.0,10.0,13.0,6.0,11.0,4.0,8.0,3.0,9.0,9.0,3.0,3.0,5.0,2.0,4.0,10.0,4.0,12.0,0.0,12.0,2.0,1.0,11.0,4.0,7.0,7.0,4.0,6.0,12.0,9.0,4.0,12.0,0.0,14.0,17.0,5.0,5.0,2.0,12.0,7.0,9.0,12.0,3.0,4.0,11.0,13.0,16.0,2.0,1.0,3.0,16.0,1.0,9.0,6.0,13.0,3.0,8.0,7.0,4.0,4.0,3.0,2.0,6.0,8.0,11.0,2.0,13.0,2.0,3.0,10.0,5.0,15.0,8.0,5.0,5.0,6.0,3.0,5.0,7.0,7.0,10.0
FATHER,14.0,19.0,3.0,0.0,19.0,10.0,3.0,25.0,0.0,2.0,7.0,6.0,15.0,6.0,15.0,0.0,7.0,5.0,0.0,3.0,2.0,0.0,5.0,10.0,10.0,9.0,9.0,6.0,4.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,11.0,1.0,6.0,0.0,5.0,10.0,10.0,2.0,6.0,5.0,1.0,4.0,5.0,4.0,16.0,2.0,2.0,3.0,19.0,16.0,13.0,7.0,21.0,15.0,4.0,38.0,3.0,11.0,18.0,4.0,7.0,0.0,3.0,4.0,3.0,0.0,2.0,2.0,11.0,4.0,11.0,5.0,2.0,17.0,3.0,30.0,15.0,5.0,15.0,7.0,10.0,8.0,10.0,6.0,2.0,4.0,1.0,3.0,0.0,8.0,7.0,23.0,2.0,2.0,2.0,18.0,15.0,11.0,4.0,3.0,30.0,4.0,7.0,4.0,0.0,9.0,6.0,9.0,11.0,17.0,6.0,11.0,2.0,12.0,6.0,5.0,25.0,0.0,4.0,9.0,2.0,4.0,13.0,2.0,22.0,5.0,9.0,3.0,3.0,19.0,1.0,3.0,7.0,0.0,5.0,10.0,2.0,5.0,10.0,2.0,12.0,28.0,4.0,3.0,2.0,9.0,8.0,6.0,11.0,6.0,6.0,16.0,14.0,11.0,1.0,1.0,0.0,18.0,1.0,8.0,6.0,9.0,9.0,6.0,5.0,0.0,1.0,7.0,4.0,2.0,7.0,19.0,1.0,23.0,2.0,1.0,12.0,10.0,11.0,10.0,6.0,4.0,5.0,9.0,5.0,8.0,5.0,22.0
FIELDS,1.0,9.0,2.0,1.0,4.0,5.0,1.0,9.0,0.0,2.0,2.0,2.0,5.0,3.0,4.0,2.0,5.0,1.0,0.0,1.0,3.0,1.0,3.0,5.0,6.0,2.0,7.0,7.0,5.0,1.0,5.0,2.0,0.0,5.0,1.0,1.0,6.0,0.0,2.0,2.0,2.0,4.0,7.0,4.0,4.0,2.0,0.0,4.0,2.0,2.0,6.0,1.0,2.0,3.0,5.0,3.0,4.0,3.0,6.0,4.0,4.0,3.0,12.0,1.0,4.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,6.0,3.0,5.0,1.0,1.0,3.0,3.0,10.0,7.0,1.0,7.0,3.0,3.0,4.0,4.0,2.0,0.0,2.0,3.0,0.0,0.0,4.0,1.0,8.0,0.0,2.0,2.0,4.0,5.0,6.0,1.0,1.0,10.0,4.0,3.0,2.0,0.0,5.0,3.0,3.0,5.0,4.0,5.0,7.0,1.0,4.0,4.0,3.0,5.0,1.0,2.0,2.0,0.0,1.0,3.0,1.0,7.0,1.0,4.0,1.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0,4.0,0.0,2.0,4.0,0.0,8.0,7.0,2.0,1.0,0.0,7.0,4.0,4.0,6.0,1.0,2.0,3.0,5.0,8.0,1.0,0.0,1.0,9.0,0.0,5.0,2.0,6.0,3.0,5.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,3.0,9.0,1.0,2.0,5.0,2.0,7.0,4.0,2.0,2.0,2.0,3.0,3.0,6.0,4.0,6.0
FIGHT,17.0,25.0,7.0,2.0,18.0,18.0,4.0,26.0,1.0,5.0,6.0,5.0,20.0,8.0,21.0,7.0,9.0,8.0,2.0,6.0,4.0,2.0,8.0,14.0,14.0,12.0,13.0,12.0,14.0,9.0,10.0,9.0,8.0,8.0,14.0,2.0,18.0,4.0,14.0,3.0,13.0,11.0,15.0,6.0,13.0,9.0,3.0,7.0,7.0,7.0,27.0,5.0,2.0,4.0,23.0,16.0,7.0,13.0,27.0,18.0,8.0,11.0,1.0,41.0,22.0,15.0,9.0,4.0,7.0,6.0,4.0,0.0,6.0,4.0,16.0,5.0,9.0,7.0,3.0,22.0,7.0,38.0,17.0,7.0,15.0,11.0,21.0,15.0,23.0,8.0,2.0,7.0,3.0,9.0,1.0,8.0,6.0,28.0,5.0,1.0,4.0,23.0,16.0,11.0,9.0,5.0,32.0,5.0,12.0,6.0,1.0,11.0,11.0,11.0,12.0,20.0,12.0,19.0,2.0,22.0,10.0,9.0,23.0,3.0,3.0,9.0,4.0,5.0,17.0,6.0,26.0,5.0,11.0,2.0,5.0,25.0,6.0,5.0,6.0,2.0,13.0,12.0,6.0,9.0,15.0,1.0,20.0,32.0,5.0,5.0,2.0,20.0,9.0,10.0,16.0,8.0,9.0,16.0,19.0,20.0,1.0,2.0,5.0,28.0,2.0,9.0,10.0,18.0,9.0,8.0,5.0,5.0,3.0,9.0,5.0,4.0,10.0,23.0,3.0,27.0,7.0,2.0,17.0,11.0,11.0,12.0,8.0,4.0,8.0,17.0,5.0,13.0,7.0,19.0
FIRE,50.0,60.0,13.0,6.0,40.0,33.0,6.0,79.0,4.0,9.0,16.0,9.0,36.0,17.0,34.0,19.0,25.0,14.0,4.0,9.0,7.0,8.0,12.0,25.0,21.0,27.0,22.0,30.0,18.0,10.0,19.0,13.0,8.0,25.0,10.0,10.0,40.0,5.0,30.0,7.0,17.0,22.0,52.0,19.0,20.0,15.0,7.0,15.0,11.0,12.0,60.0,10.0,9.0,14.0,42.0,50.0,31.0,15.0,75.0,31.0,13.0,18.0,4.0,22.0,131.0,22.0,20.0,8.0,14.0,14.0,15.0,4.0,11.0,9.0,27.0,7.0,31.0,13.0,11.0,43.0,13.0,108.0,43.0,24.0,41.0,26.0,24.0,24.0,30.0,21.0,6.0,18.0,7.0,10.0,1.0,23.0,14.0,63.0,4.0,10.0,8.0,44.0,48.0,34.0,20.0,7.0,90.0,7.0,21.0,20.0,5.0,24.0,25.0,29.0,31.0,50.0,24.0,36.0,7.0,31.0,20.0,20.0,57.0,8.0,8.0,20.0,9.0,9.0,48.0,8.0,48.0,6.0,30.0,7.0,6.0,58.0,9.0,12.0,11.0,5.0,24.0,28.0,17.0,11.0,34.0,4.0,51.0,86.0,11.0,8.0,5.0,43.0,27.0,14.0,40.0,8.0,24.0,40.0,43.0,43.0,4.0,4.0,7.0,62.0,5.0,26.0,18.0,32.0,24.0,19.0,11.0,9.0,4.0,15.0,15.0,13.0,13.0,53.0,5.0,77.0,7.0,6.0,37.0,25.0,36.0,28.0,17.0,9.0,8.0,23.0,12.0,21.0,15.0,50.0
FISH,20.0,30.0,8.0,4.0,22.0,12.0,5.0,36.0,2.0,5.0,8.0,8.0,25.0,16.0,22.0,9.0,14.0,8.0,1.0,5.0,8.0,3.0,10.0,10.0,11.0,10.0,11.0,20.0,20.0,6.0,9.0,9.0,4.0,14.0,7.0,5.0,21.0,4.0,15.0,3.0,10.0,9.0,24.0,12.0,14.0,9.0,5.0,11.0,7.0,8.0,28.0,4.0,4.0,5.0,22.0,19.0,16.0,7.0,36.0,19.0,8.0,4.0,3.0,15.0,22.0,55.0,10.0,4.0,10.0,9.0,11.0,3.0,9.0,6.0,16.0,7.0,9.0,9.0,6.0,24.0,10.0,46.0,24.0,11.0,24.0,18.0,13.0,20.0,25.0,14.0,4.0,6.0,6.0,10.0,1.0,13.0,1.0,31.0,6.0,4.0,4.0,25.0,17.0,9.0,9.0,5.0,41.0,5.0,9.0,10.0,4.0,16.0,11.0,13.0,17.0,27.0,14.0,23.0,2.0,19.0,8.0,11.0,33.0,5.0,4.0,15.0,4.0,5.0,23.0,4.0,23.0,3.0,15.0,3.0,5.0,29.0,9.0,9.0,6.0,5.0,10.0,15.0,11.0,9.0,22.0,4.0,25.0,41.0,8.0,6.0,5.0,26.0,15.0,15.0,17.0,8.0,8.0,17.0,25.0,23.0,3.0,0.0,4.0,32.0,3.0,13.0,11.0,21.0,6.0,11.0,7.0,8.0,3.0,6.0,7.0,5.0,12.0,22.0,4.0,31.0,6.0,2.0,22.0,6.0,20.0,11.0,10.0,7.0,8.0,13.0,6.0,13.0,5.0,24.0
FLIGHT,19.0,19.0,3.0,1.0,17.0,10.0,4.0,23.0,2.0,3.0,5.0,3.0,19.0,10.0,13.0,7.0,9.0,8.0,2.0,2.0,5.0,1.0,5.0,12.0,5.0,9.0,8.0,12.0,14.0,4.0,8.0,5.0,5.0,9.0,3.0,1.0,18.0,3.0,10.0,3.0,7.0,8.0,17.0,7.0,6.0,5.0,4.0,3.0,5.0,6.0,20.0,3.0,2.0,4.0,18.0,16.0,10.0,9.0,27.0,12.0,5.0,7.0,0.0,9.0,20.0,10.0,35.0,5.0,6.0,8.0,9.0,2.0,6.0,7.0,10.0,3.0,8.0,6.0,9.0,15.0,4.0,31.0,19.0,12.0,15.0,13.0,10.0,10.0,12.0,10.0,3.0,10.0,3.0,6.0,0.0,13.0,7.0,23.0,2.0,5.0,3.0,13.0,24.0,7.0,13.0,4.0,26.0,2.0,6.0,4.0,3.0,11.0,8.0,13.0,12.0,21.0,6.0,15.0,1.0,12.0,8.0,8.0,19.0,5.0,4.0,8.0,5.0,3.0,18.0,3.0,19.0,4.0,14.0,4.0,2.0,19.0,4.0,5.0,5.0,1.0,5.0,9.0,8.0,7.0,18.0,1.0,16.0,29.0,2.0,5.0,4.0,22.0,15.0,9.0,17.0,8.0,10.0,14.0,10.0,19.0,2.0,2.0,3.0,19.0,1.0,10.0,7.0,13.0,8.0,9.0,5.0,3.0,2.0,4.0,5.0,9.0,8.0,20.0,4.0,21.0,2.0,1.0,16.0,11.0,18.0,10.0,11.0,4.0,3.0,11.0,5.0,11.0,1.0,19.0
FLUTE,6.0,8.0,2.0,3.0,6.0,4.0,3.0,8.0,2.0,3.0,0.0,4.0,5.0,1.0,6.0,4.0,2.0,2.0,3.0,1.0,4.0,3.0,4.0,5.0,4.0,4.0,6.0,6.0,7.0,4.0,4.0,5.0,1.0,5.0,2.0,2.0,7.0,2.0,5.0,3.0,3.0,2.0,7.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,6.0,2.0,1.0,4.0,6.0,5.0,2.0,3.0,10.0,3.0,4.0,0.0,1.0,4.0,8.0,4.0,5.0,13.0,3.0,4.0,4.0,0.0,6.0,3.0,4.0,1.0,2.0,3.0,2.0,7.0,4.0,13.0,5.0,2.0,9.0,5.0,5.0,6.0,4.0,6.0,2.0,4.0,3.0,3.0,1.0,4.0,2.0,10.0,0.0,3.0,2.0,5.0,7.0,5.0,4.0,1.0,11.0,3.0,2.0,2.0,2.0,6.0,3.0,6.0,7.0,8.0,4.0,10.0,3.0,5.0,6.0,3.0,5.0,5.0,1.0,1.0,1.0,2.0,7.0,5.0,5.0,0.0,3.0,1.0,0.0,8.0,4.0,5.0,2.0,2.0,6.0,4.0,1.0,3.0,8.0,0.0,7.0,9.0,2.0,3.0,1.0,6.0,5.0,5.0,8.0,3.0,6.0,5.0,7.0,7.0,2.0,1.0,3.0,9.0,1.0,5.0,3.0,7.0,0.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,9.0,2.0,8.0,2.0,1.0,7.0,2.0,7.0,3.0,5.0,3.0,3.0,3.0,3.0,6.0,2.0,5.0
FOOT,12.0,19.0,4.0,3.0,14.0,9.0,4.0,20.0,2.0,3.0,1.0,4.0,14.0,5.0,11.0,7.0,10.0,5.0,2.0,4.0,7.0,3.0,7.0,8.0,8.0,9.0,7.0,16.0,9.0,6.0,8.0,7.0,3.0,10.0,3.0,3.0,15.0,3.0,11.0,3.0,5.0,5.0,16.0,11.0,5.0,7.0,2.0,6.0,5.0,4.0,16.0,3.0,3.0,6.0,17.0,8.0,7.0,6.0,18.0,14.0,5.0,3.0,2.0,7.0,14.0,10.0,6.0,3.0,31.0,6.0,8.0,2.0,5.0,5.0,8.0,4.0,8.0,6.0,6.0,17.0,6.0,28.0,16.0,11.0,11.0,8.0,10.0,10.0,14.0,10.0,4.0,7.0,1.0,6.0,0.0,11.0,3.0,18.0,2.0,3.0,3.0,11.0,10.0,8.0,9.0,5.0,27.0,5.0,5.0,6.0,3.0,11.0,6.0,11.0,8.0,14.0,11.0,14.0,2.0,8.0,5.0,7.0,11.0,5.0,6.0,10.0,5.0,4.0,13.0,3.0,11.0,2.0,11.0,2.0,3.0,15.0,5.0,4.0,7.0,2.0,5.0,9.0,8.0,6.0,13.0,2.0,16.0,21.0,9.0,4.0,3.0,17.0,8.0,8.0,14.0,3.0,10.0,11.0,14.0,15.0,1.0,1.0,5.0,15.0,1.0,9.0,12.0,16.0,5.0,10.0,4.0,3.0,4.0,5.0,1.0,5.0,6.0,14.0,5.0,17.0,2.0,2.0,11.0,8.0,13.0,6.0,8.0,4.0,6.0,9.0,5.0,9.0,3.0,10.0
FOREST,14.0,14.0,3.0,1.0,9.0,10.0,3.0,21.0,3.0,5.0,5.0,3.0,13.0,6.0,12.0,10.0,8.0,6.0,1.0,5.0,4.0,3.0,7.0,11.0,8.0,10.0,11.0,10.0,14.0,3.0,9.0,5.0,2.0,11.0,4.0,4.0,14.0,2.0,14.0,2.0,6.0,6.0,16.0,10.0,7.0,5.0,5.0,9.0,4.0,4.0,16.0,2.0,2.0,7.0,14.0,10.0,8.0,7.0,21.0,10.0,7.0,4.0,2.0,6.0,14.0,9.0,8.0,4.0,6.0,28.0,9.0,1.0,11.0,5.0,13.0,4.0,9.0,7.0,4.0,13.0,8.0,25.0,15.0,6.0,12.0,11.0,11.0,6.0,14.0,13.0,6.0,7.0,2.0,6.0,0.0,10.0,3.0,22.0,1.0,5.0,5.0,17.0,12.0,10.0,5.0,2.0,24.0,6.0,7.0,8.0,3.0,14.0,6.0,11.0,15.0,16.0,8.0,12.0,1.0,17.0,7.0,8.0,16.0,5.0,5.0,8.0,2.0,3.0,11.0,2.0,10.0,5.0,10.0,3.0,4.0,17.0,5.0,7.0,5.0,3.0,6.0,11.0,7.0,4.0,13.0,2.0,17.0,21.0,7.0,4.0,5.0,16.0,12.0,10.0,16.0,4.0,7.0,14.0,13.0,16.0,3.0,0.0,1.0,19.0,1.0,15.0,9.0,17.0,5.0,10.0,9.0,2.0,2.0,2.0,3.0,6.0,12.0,16.0,2.0,21.0,4.0,3.0,11.0,8.0,12.0,9.0,6.0,5.0,4.0,7.0,8.0,12.0,4.0,12.0
FOUNTAIN,18.0,18.0,4.0,3.0,15.0,8.0,4.0,22.0,4.0,5.0,8.0,5.0,14.0,6.0,15.0,4.0,4.0,3.0,1.0,2.0,5.0,5.0,5.0,9.0,7.0,9.0,10.0,13.0,14.0,5.0,9.0,6.0,4.0,11.0,4.0,1.0,18.0,3.0,12.0,2.0,9.0,4.0,19.0,6.0,9.0,4.0,5.0,7.0,4.0,4.0,17.0,2.0,2.0,7.0,16.0,14.0,7.0,5.0,33.0,11.0,6.0,3.0,1.0,4.0,15.0,11.0,9.0,4.0,8.0,9.0,38.0,3.0,7.0,7.0,12.0,4.0,7.0,7.0,8.0,18.0,7.0,32.0,15.0,10.0,15.0,13.0,9.0,12.0,14.0,12.0,4.0,6.0,2.0,5.0,0.0,13.0,4.0,15.0,2.0,4.0,2.0,19.0,11.0,9.0,8.0,1.0,29.0,5.0,7.0,7.0,5.0,13.0,9.0,14.0,11.0,23.0,7.0,16.0,1.0,16.0,6.0,10.0,18.0,8.0,6.0,9.0,5.0,5.0,18.0,3.0,13.0,0.0,11.0,3.0,1.0,18.0,5.0,8.0,4.0,3.0,5.0,9.0,8.0,6.0,14.0,0.0,14.0,30.0,5.0,5.0,3.0,16.0,12.0,6.0,15.0,3.0,7.0,13.0,17.0,22.0,3.0,1.0,3.0,22.0,2.0,12.0,13.0,17.0,3.0,8.0,3.0,3.0,2.0,3.0,5.0,7.0,9.0,17.0,7.0,21.0,4.0,2.0,15.0,7.0,19.0,10.0,7.0,5.0,5.0,8.0,4.0,8.0,2.0,13.0
FRUIT,4.0,6.0,2.0,2.0,5.0,3.0,3.0,5.0,2.0,1.0,4.0,1.0,5.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,3.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,4.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,4.0,6.0,4.0,1.0,8.0,2.0,4.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,2.0,1.0,3.0,17.0,2.0,2.0,1.0,0.0,4.0,0.0,2.0,4.0,1.0,11.0,5.0,3.0,5.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,5.0,4.0,2.0,3.0,1.0,12.0,0.0,1.0,2.0,0.0,1.0,5.0,2.0,1.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,9.0,1.0,2.0,4.0,1.0,0.0,7.0,2.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,7.0,7.0,1.0,5.0,0.0,4.0,7.0,0.0,0.0,1.0,4.0,5.0,2.0,2.0,1.0,0.0,5.0,4.0,4.0,1.0,1.0,1.0,8.0,1.0,1.0,4.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,6.0,2.0,5.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0
GARDEN,13.0,14.0,1.0,6.0,10.0,5.0,4.0,22.0,3.0,2.0,4.0,3.0,11.0,5.0,8.0,9.0,8.0,5.0,2.0,4.0,3.0,2.0,8.0,8.0,5.0,5.0,9.0,15.0,17.0,3.0,8.0,6.0,2.0,11.0,4.0,3.0,15.0,4.0,9.0,4.0,9.0,5.0,12.0,8.0,5.0,5.0,4.0,4.0,4.0,3.0,20.0,3.0,1.0,2.0,13.0,15.0,4.0,8.0,27.0,5.0,4.0,2.0,1.0,6.0,11.0,9.0,6.0,6.0,5.0,11.0,7.0,2.0,39.0,4.0,11.0,4.0,12.0,4.0,6.0,12.0,8.0,32.0,15.0,6.0,16.0,9.0,13.0,10.0,9.0,11.0,5.0,7.0,1.0,10.0,1.0,9.0,1.0,20.0,1.0,3.0,4.0,19.0,13.0,10.0,10.0,5.0,33.0,5.0,4.0,8.0,4.0,9.0,7.0,6.0,16.0,17.0,5.0,11.0,2.0,10.0,8.0,7.0,24.0,6.0,4.0,9.0,4.0,3.0,14.0,5.0,15.0,3.0,8.0,1.0,1.0,20.0,8.0,4.0,5.0,4.0,5.0,11.0,2.0,3.0,12.0,1.0,17.0,22.0,5.0,3.0,3.0,21.0,10.0,9.0,14.0,5.0,6.0,13.0,12.0,16.0,5.0,1.0,3.0,19.0,4.0,7.0,9.0,20.0,0.0,11.0,7.0,3.0,1.0,2.0,4.0,5.0,14.0,17.0,2.0,18.0,5.0,1.0,13.0,6.0,11.0,10.0,6.0,3.0,2.0,4.0,6.0,11.0,1.0,16.0
GARLAND,6.0,10.0,6.0,1.0,12.0,7.0,2.0,16.0,4.0,2.0,5.0,2.0,12.0,7.0,9.0,5.0,6.0,5.0,0.0,5.0,5.0,5.0,7.0,7.0,5.0,8.0,10.0,12.0,9.0,4.0,7.0,6.0,1.0,10.0,2.0,3.0,16.0,2.0,14.0,2.0,5.0,6.0,12.0,8.0,8.0,3.0,4.0,3.0,4.0,4.0,13.0,1.0,4.0,5.0,11.0,7.0,10.0,4.0,20.0,7.0,7.0,2.0,1.0,4.0,9.0,6.0,7.0,3.0,5.0,5.0,7.0,2.0,4.0,24.0,7.0,3.0,7.0,5.0,4.0,9.0,6.0,21.0,14.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,3.0,8.0,1.0,6.0,0.0,7.0,6.0,12.0,2.0,2.0,6.0,12.0,9.0,7.0,8.0,0.0,21.0,4.0,7.0,5.0,2.0,9.0,7.0,9.0,10.0,14.0,7.0,9.0,2.0,7.0,5.0,6.0,12.0,6.0,2.0,3.0,4.0,5.0,11.0,4.0,8.0,0.0,6.0,2.0,0.0,17.0,2.0,6.0,4.0,3.0,4.0,8.0,7.0,5.0,12.0,1.0,16.0,19.0,5.0,6.0,3.0,14.0,10.0,7.0,9.0,3.0,5.0,8.0,12.0,13.0,6.0,1.0,3.0,13.0,0.0,9.0,6.0,14.0,8.0,5.0,5.0,4.0,5.0,6.0,3.0,5.0,6.0,12.0,3.0,12.0,1.0,3.0,9.0,4.0,12.0,7.0,6.0,4.0,4.0,4.0,5.0,6.0,3.0,11.0
