Source,Target
plants,stag
point,ages
point,box
point,bull
point,centaur
point,centre
point,circle
point,city
point,colour
point,desert
point,dragon
point,egg
point,elements
point,eve
point,fire
point,gorgon
point,guardian
point,head
point,heart
point,horns
point,horse
point,journey
point,king
point,labyrinth
point,metals
point,mountain
point,mouth
point,neptune
point,numbers
point,one
point,ocean
point,procession
point,seed
point,shape
point,space
point,star
point,teeth
point,temple
point,time
point,tower
point,treasure
point,tree
point,trident
point,triumph
point,wheel
power,animals
power,ark
power,arrow
power,bell
power,bird
power,boar
power,book
power,bow
power,castle
power,cave
power,crow
power,diadem
power,dove
power,eagle
power,elements
power,emperor
power,enchantment
power,father
power,fight
power,fire
power,fish
power,flight
power,forest
power,giant
power,goblet
power,guardian
power,hair
power,hammer
power,hand
power,hole
power,locusts
power,minstrel
power,mistletoe
power,mouth
power,mud
power,net
power,one
power,eight
power,object
power,ocean
power,pegasus
power,relief
power,river
power,secret
power,shepherd
power,smoke
power,stranger
power,sword
power,thunderbolt
power,trident
power,weapons
power,wind
power,wings
prince,hamlet
procession,boat
procession,disguise
procession,lake
prometheus,fire
prometheus,ring
radiance,desert
radiance,diadem
radiance,superiority
radiance,triumph
rain,castle
rain,colour
rain,deluge
rain,dew
rain,dragon
rain,king
rain,sun
rain,water
relief,cloak
relief,sword
return,ash
return,cerberus
return,circle
return,column
return,farmer
return,fields
return,fire
return,goose
return,intestines
return,king
return,procession
return,salvation
return,sea
return,ship
return,space
return,steps
return,time
return,water
return,wheel
return,wood
ring,hole
ring,knot
river,ass
river,basket
river,colour
river,euphrates
river,meadow
rock,bird
rock,cavern
rock,footprints
rock,ring
rock,weapons
rod,weapons
sacrifice,blood
sacrifice,bull
sacrifice,dog
sacrifice,eagle
sacrifice,fight
sacrifice,fish
sacrifice,fool
sacrifice,giant
sacrifice,honey
sacrifice,horns
sacrifice,horse
sacrifice,knife
sacrifice,lyre
sacrifice,mars
sacrifice,minotaur
sacrifice,salvation
sacrifice,sword
sacrifice,vine
sacrifice,yoke
salvation,anchor
salvation,bottle
salvation,cerberus
salvation,desert
salvation,enchantment
salvation,farmer
salvation,level
salvation,ship
salvation,smoke
salvation,weapons
salvation,well
saturn,animals
saturn,ass
saturn,child
saturn,death
saturn,pan
saturn,stone
saturn,temple
scales,devil
scales,justice
sea,abyss
sea,animals
sea,cauldron
sea,column
sea,egypt
sea,fish
sea,harpies
sea,horse
sea,man
sea,mirror
sea,monsters
sea,ocean
sea,serpent
sea,ship
sea,styx
sea,valley
sea,water
sea,west
seasons,ages
seasons,centre
seasons,farmer
seasons,heat
seasons,hours
secret,cave
secret,dragon
secret,egg
secret,palace
secret,temple
secret,weapons
seed,ark
seed,centre
seed,egg
seed,fire
seed,fruit
seed,man
serpent,chariot
serpent,dragon
serpent,eternity
serpent,foot
serpent,gorgon
serpent,object
serpent,saturn
serpent,stag
shadow,king
shadow,superiority
shadow,weapons
shape,apple
shape,arrow
shape,bell
shape,castle
shape,cauldron
shape,chain
shape,city
shape,cloak
shape,crown
shape,dove
shape,dragon
shape,figures
shape,fish
shape,flute
shape,fountain
shape,garden
shape,hat
