Source,Target
west,tree
wind,air
wind,bird
wind,cloak
wind,horse
wind,hunter
wine,blood
wine,vine
wings,animals
wings,bird
wings,cloak
wings,death
wings,dragon
wings,eagle
wings,eye
wings,flight
wings,weapons
woman,cave
woman,choice
woman,city
woman,dragon
woman,island
woman,man
woman,mother
woman,ocean
woman,serpent
wood,dragon
wood,giant
wood,hunter
wood,moon
wood,mountain
wood,sword
world,ages
world,animals
world,cave
world,cerberus
world,chariot
world,child
world,cloak
world,clouds
world,darkness
world,dragon
world,euphrates
world,farmer
world,father
world,hole
world,horse
world,image
world,journey
world,labyrinth
world,love
world,man
world,metals
world,mirror
world,moon
world,mouth
world,musician
world,narcissus
world,oak
world,power
world,rock
world,seed
world,space
world,steps
world,sword
world,temple
world,thunderbolt
world,valley
world,wall
world,weapons
year,bull
year,disguise
year,dreams
year,journey
year,lake
year,persephone
year,procession
year,sword
